	fold	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	Freq	
SIMSBM_[3]	0	0.8077	0.8077	0.8077	0.8077	0.8654	0.8767	0.9038	0.1923	0.0962	0.8077	
SIMSBM_[3]	1	0.8077	0.8077	0.8077	0.8077	0.8254	0.7988	0.9038	0.1923	0.0962	0.8077	
SIMSBM_[3]	2	0.9615	0.9615	0.9615	0.9615	0.9808	0.9820	0.9808	0.0385	0.0192	0.9615	
SIMSBM_[3]	3	0.8077	0.8077	0.8077	0.8077	0.8447	0.8302	0.9038	0.1923	0.0962	0.8077	
SIMSBM_[3]	4	0.8333	0.8200	0.8000	0.8000	0.9120	0.9214	0.9000	0.2000	0.1000	0.8000	
SIMSBM_[3]	5	0.8077	0.8000	0.8000	0.8000	0.8704	0.8806	0.9000	0.2000	0.1000	0.8000	
SIMSBM_[3]	6	0.7931	0.7600	0.7600	0.7600	0.8592	0.8687	0.8800	0.2400	0.1200	0.7600	
SIMSBM_[3]	7	0.7407	0.7200	0.7200	0.7200	0.7432	0.7067	0.8600	0.2800	0.1400	0.7200	
SIMSBM_[3]	8	0.8000	0.8000	0.8000	0.8000	0.7968	0.7662	0.9000	0.2000	0.1000	0.8000	
SIMSBM_[3]	9	0.8800	0.8800	0.8800	0.8800	0.8416	0.8245	0.9400	0.1200	0.0600	0.8800	
