	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[3]	0	0.8817	0.8723	0.8723	0.8723	0.9573	0.9195	0.9273	0.1915	0.0479	
SIMSBM_[3]	1	0.8817	0.8723	0.8723	0.8723	0.9585	0.9201	0.9326	0.1489	0.0372	
SIMSBM_[3]	2	0.8817	0.8723	0.8723	0.8723	0.9573	0.9189	0.9273	0.1915	0.0479	
SIMSBM_[3]	3	0.8817	0.8723	0.8723	0.8723	0.9553	0.9138	0.9309	0.1702	0.0426	
SIMSBM_[3]	4	0.8817	0.8723	0.8723	0.8723	0.9498	0.8968	0.9273	0.1915	0.0479	
SIMSBM_[3]	5	0.8696	0.8511	0.8723	0.8723	0.9541	0.9055	0.9326	0.1489	0.0372	
SIMSBM_[3]	6	0.8817	0.8723	0.8723	0.8723	0.9571	0.9189	0.9273	0.1915	0.0479	
SIMSBM_[3]	7	0.8696	0.8511	0.8723	0.8723	0.9541	0.9057	0.9326	0.1489	0.0372	
SIMSBM_[3]	8	0.8696	0.8511	0.8723	0.8723	0.9553	0.9128	0.9291	0.1702	0.0426	
SIMSBM_[3]	9	0.8539	0.8085	0.8723	0.8723	0.9540	0.9140	0.9326	0.1489	0.0372	
