	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[2]	0	0.8211	0.8085	0.8085	0.8085	0.9153	0.7584	0.9007	0.2128	0.0532	
SIMSBM_[2]	1	0.8211	0.8085	0.8085	0.8085	0.9167	0.7623	0.8972	0.2340	0.0585	
SIMSBM_[2]	2	0.8211	0.8085	0.8085	0.8085	0.9140	0.7713	0.8989	0.2340	0.0585	
SIMSBM_[2]	3	0.8211	0.8085	0.8085	0.8085	0.9140	0.7713	0.8989	0.2340	0.0585	
SIMSBM_[2]	4	0.8211	0.8085	0.8085	0.8085	0.9163	0.7642	0.9007	0.2128	0.0532	
SIMSBM_[2]	5	0.8211	0.8085	0.8085	0.8085	0.9140	0.7713	0.8989	0.2340	0.0585	
SIMSBM_[2]	6	0.8211	0.8085	0.8085	0.8085	0.9141	0.7731	0.8989	0.2340	0.0585	
SIMSBM_[2]	7	0.8211	0.8085	0.8085	0.8085	0.9172	0.7639	0.8972	0.2340	0.0585	
SIMSBM_[2]	8	0.8211	0.8085	0.8085	0.8085	0.9194	0.7620	0.9007	0.2128	0.0532	
SIMSBM_[2]	9	0.8211	0.8085	0.8085	0.8085	0.9187	0.7573	0.9043	0.1915	0.0479	
