	fold	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	Freq	
SIMSBM_[2]	0	0.8276	0.8077	0.8077	0.8077	0.9009	0.9109	0.9038	0.1923	0.0962	0.8077	
SIMSBM_[2]	1	0.8077	0.8077	0.8077	0.8077	0.7929	0.7525	0.9038	0.1923	0.0962	0.8077	
SIMSBM_[2]	2	0.9615	0.9615	0.9615	0.9615	0.9867	0.9875	0.9808	0.0385	0.0192	0.9615	
SIMSBM_[2]	3	0.8077	0.8077	0.8077	0.8077	0.8240	0.8242	0.9038	0.1923	0.0962	0.8077	
SIMSBM_[2]	4	0.8364	0.8200	0.8000	0.8000	0.8672	0.8566	0.9000	0.2000	0.1000	0.8000	
SIMSBM_[2]	5	0.8364	0.8200	0.8000	0.8000	0.8928	0.9003	0.9000	0.2000	0.1000	0.8000	
SIMSBM_[2]	6	0.7600	0.7600	0.7600	0.7600	0.8112	0.8282	0.8800	0.2400	0.1200	0.7600	
SIMSBM_[2]	7	0.7308	0.7200	0.7200	0.7200	0.7256	0.6888	0.8600	0.2800	0.1400	0.7200	
SIMSBM_[2]	8	0.8000	0.8000	0.8000	0.8000	0.7648	0.7498	0.9000	0.2000	0.1000	0.8000	
SIMSBM_[2]	9	0.8800	0.8800	0.8800	0.8800	0.8576	0.8357	0.9400	0.1200	0.0600	0.8800	
