	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[3]	0	0.7048	0.6383	0.6809	0.6383	0.8692	0.7579	0.8191	0.5106	0.1277	
SIMSBM_[3]	1	0.7292	0.7021	0.7447	0.7021	0.8712	0.7661	0.8511	0.4468	0.1117	
SIMSBM_[3]	2	0.7040	0.6170	0.6596	0.6170	0.8624	0.7529	0.8085	0.5319	0.1330	
SIMSBM_[3]	3	0.6931	0.6170	0.6809	0.6383	0.8661	0.7500	0.8191	0.5106	0.1277	
SIMSBM_[3]	4	0.7216	0.6809	0.7447	0.7021	0.8726	0.7645	0.8511	0.4468	0.1117	
SIMSBM_[3]	5	0.7292	0.7021	0.7447	0.7021	0.8737	0.7699	0.8511	0.4468	0.1117	
SIMSBM_[3]	6	0.7021	0.6596	0.7447	0.7021	0.8771	0.7689	0.8511	0.4468	0.1117	
SIMSBM_[3]	7	0.7103	0.6383	0.6809	0.6383	0.8661	0.7584	0.8191	0.5106	0.1277	
SIMSBM_[3]	8	0.7000	0.6383	0.6809	0.6383	0.8667	0.7522	0.8191	0.5106	0.1277	
SIMSBM_[3]	9	0.6942	0.6170	0.6596	0.6170	0.8648	0.7403	0.8085	0.5319	0.1330	
