	fold	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	Freq	
SIMSBM_[3]	0	0.7778	0.7143	0.5714	0.5714	0.7755	0.8242	0.7857	0.4286	0.2143	0.7143	
SIMSBM_[3]	1	0.8571	0.8571	0.8571	0.8571	0.8980	0.9129	0.9286	0.1429	0.0714	0.7143	
SIMSBM_[3]	2	0.8571	0.8571	0.8571	0.8571	0.9184	0.9129	0.9286	0.1429	0.0714	0.5714	
SIMSBM_[3]	3	0.7778	0.7143	0.5714	0.5714	0.7755	0.8183	0.7857	0.4286	0.2143	0.7143	
SIMSBM_[3]	4	0.9333	0.9286	0.8571	0.8571	0.9796	0.9821	0.9286	0.1429	0.0714	0.7143	
SIMSBM_[3]	5	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000	0.5714	
SIMSBM_[3]	6	0.8750	0.8571	0.7143	0.7143	0.9184	0.9325	0.8571	0.2857	0.1429	0.7143	
SIMSBM_[3]	7	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000	0.8333	
SIMSBM_[3]	8	0.8333	0.8333	0.8333	0.8333	0.8611	0.8889	0.9167	0.1667	0.0833	0.6667	
SIMSBM_[3]	9	0.8571	0.8333	0.8333	0.8333	0.9167	0.9306	0.9167	0.1667	0.0833	0.6667	
