	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[3]	0	0.8182	0.8182	0.8182	0.8182	0.8678	0.8829	0.9091	0.1818	0.0909	
SIMSBM_[3]	1	0.7857	0.7273	0.7273	0.7273	0.8430	0.8635	0.8636	0.2727	0.1364	
SIMSBM_[3]	2	0.8148	0.7273	0.7273	0.7273	0.8760	0.8933	0.8636	0.2727	0.1364	
SIMSBM_[3]	3	0.8182	0.8182	0.8182	0.8182	0.8347	0.8513	0.9091	0.1818	0.0909	
SIMSBM_[3]	4	0.8182	0.8182	0.8182	0.8182	0.8347	0.8513	0.9091	0.1818	0.0909	
SIMSBM_[3]	5	0.9091	0.9091	0.9091	0.9091	0.8926	0.8977	0.9545	0.0909	0.0455	
SIMSBM_[3]	6	0.8182	0.8182	0.8182	0.8182	0.8678	0.8829	0.9091	0.1818	0.0909	
SIMSBM_[3]	7	0.8182	0.8182	0.8182	0.8182	0.8678	0.8829	0.9091	0.1818	0.0909	
SIMSBM_[3]	8	0.8000	0.7273	0.7273	0.7273	0.8595	0.8767	0.8636	0.2727	0.1364	
SIMSBM_[3]	9	0.9091	0.9091	0.9091	0.9091	0.8926	0.8977	0.9545	0.0909	0.0455	
