	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[2]	0	0.8211	0.8085	0.8085	0.8085	0.9215	0.7679	0.9007	0.2128	0.0532	
SIMSBM_[2]	1	0.8211	0.8085	0.8085	0.8085	0.9211	0.7821	0.9007	0.2128	0.0532	
SIMSBM_[2]	2	0.8211	0.8085	0.8085	0.8085	0.9211	0.7821	0.9007	0.2128	0.0532	
SIMSBM_[2]	3	0.8211	0.8085	0.8085	0.8085	0.9206	0.7806	0.9007	0.2128	0.0532	
SIMSBM_[2]	4	0.8211	0.8085	0.8085	0.8085	0.9217	0.7801	0.9007	0.2128	0.0532	
SIMSBM_[2]	5	0.8211	0.8085	0.8085	0.8085	0.9203	0.7798	0.9007	0.2128	0.0532	
SIMSBM_[2]	6	0.8211	0.8085	0.8085	0.8085	0.9188	0.7696	0.9007	0.2128	0.0532	
SIMSBM_[2]	7	0.8211	0.8085	0.8085	0.8085	0.9250	0.7735	0.9007	0.2128	0.0532	
SIMSBM_[2]	8	0.8211	0.8085	0.8085	0.8085	0.9200	0.7790	0.9007	0.2128	0.0532	
SIMSBM_[2]	9	0.8211	0.8085	0.8085	0.8085	0.9212	0.7768	0.9007	0.2128	0.0532	
