	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[3]	0	0.7040	0.6383	0.7234	0.6809	0.8657	0.7578	0.8404	0.4681	0.1170	
SIMSBM_[3]	1	0.7292	0.7021	0.7447	0.7021	0.8734	0.7778	0.8511	0.4468	0.1117	
SIMSBM_[3]	2	0.7292	0.7021	0.7447	0.7021	0.8711	0.7572	0.8511	0.4468	0.1117	
SIMSBM_[3]	3	0.6931	0.6170	0.6809	0.6383	0.8589	0.7308	0.8191	0.5106	0.1277	
SIMSBM_[3]	4	0.7292	0.7021	0.7447	0.7021	0.8781	0.7686	0.8511	0.4468	0.1117	
SIMSBM_[3]	5	0.6949	0.6170	0.6809	0.6383	0.8665	0.7618	0.8191	0.5106	0.1277	
SIMSBM_[3]	6	0.7040	0.5957	0.6596	0.6170	0.8660	0.7617	0.8085	0.5319	0.1330	
SIMSBM_[3]	7	0.7158	0.6809	0.7447	0.7021	0.8771	0.7697	0.8511	0.4468	0.1117	
SIMSBM_[3]	8	0.6880	0.6170	0.6596	0.6170	0.8592	0.7340	0.8085	0.5319	0.1330	
SIMSBM_[3]	9	0.7103	0.6170	0.6809	0.6383	0.8682	0.7473	0.8191	0.5106	0.1277	
