	fold	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	Freq	
SIMSBM_[3]	0	0.8387	0.8077	0.8077	0.8077	0.9127	0.9225	0.9038	0.1923	0.0962	0.8077	
SIMSBM_[3]	1	0.8077	0.8077	0.8077	0.8077	0.8018	0.7598	0.9038	0.1923	0.0962	0.8077	
SIMSBM_[3]	2	0.9615	0.9615	0.9615	0.9615	0.9867	0.9875	0.9808	0.0385	0.0192	0.9615	
SIMSBM_[3]	3	0.8077	0.8077	0.8077	0.8077	0.8328	0.8328	0.9038	0.1923	0.0962	0.8077	
SIMSBM_[3]	4	0.8276	0.8000	0.8000	0.8000	0.8736	0.8728	0.9000	0.2000	0.1000	0.8000	
SIMSBM_[3]	5	0.8364	0.8200	0.8000	0.8000	0.8832	0.8901	0.9000	0.2000	0.1000	0.8000	
SIMSBM_[3]	6	0.7619	0.7600	0.7600	0.7600	0.8080	0.8266	0.8800	0.2400	0.1200	0.7600	
SIMSBM_[3]	7	0.7308	0.7200	0.7200	0.7200	0.7240	0.6857	0.8600	0.2800	0.1400	0.7200	
SIMSBM_[3]	8	0.8000	0.8000	0.8000	0.8000	0.7808	0.7736	0.9000	0.2000	0.1000	0.8000	
SIMSBM_[3]	9	0.8800	0.8800	0.8800	0.8800	0.8544	0.8299	0.9400	0.1200	0.0600	0.8800	
