	fold	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	Freq	
SIMSBM_[3]	0	0.8056	0.7879	0.6970	0.6970	0.8108	0.8145	0.8485	0.3030	0.1515	0.8788	
SIMSBM_[3]	1	0.7848	0.7576	0.6970	0.6970	0.8237	0.8335	0.8485	0.3030	0.1515	0.7576	
SIMSBM_[3]	2	0.8611	0.8485	0.7879	0.7879	0.8926	0.8624	0.8939	0.2121	0.1061	0.8485	
SIMSBM_[3]	3	0.8485	0.8485	0.8485	0.8485	0.8926	0.9006	0.9242	0.1515	0.0758	0.8182	
SIMSBM_[3]	4	0.8750	0.8750	0.8750	0.8750	0.8926	0.8884	0.9375	0.1250	0.0625	0.8750	
SIMSBM_[3]	5	0.8438	0.8438	0.8438	0.8438	0.8857	0.8896	0.9219	0.1562	0.0781	0.8438	
SIMSBM_[3]	6	0.8529	0.8438	0.8438	0.8438	0.8887	0.8853	0.9219	0.1562	0.0781	0.8750	
SIMSBM_[3]	7	0.7111	0.6875	0.6875	0.6875	0.7168	0.7343	0.8438	0.3125	0.1562	0.6875	
SIMSBM_[3]	8	0.7397	0.7031	0.6875	0.6875	0.7549	0.7247	0.8438	0.3125	0.1562	0.6875	
SIMSBM_[3]	9	0.8750	0.8750	0.8750	0.8750	0.9448	0.9479	0.9375	0.1250	0.0625	0.8438	
