	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[2]	0	0.8660	0.8511	0.8723	0.8723	0.9514	0.8227	0.9362	0.1277	0.0319	
SIMSBM_[2]	1	0.8750	0.8511	0.8723	0.8723	0.9496	0.8160	0.9362	0.1277	0.0319	
SIMSBM_[2]	2	0.8632	0.8511	0.8511	0.8511	0.9528	0.8293	0.9255	0.1489	0.0372	
SIMSBM_[2]	3	0.8750	0.8511	0.8723	0.8723	0.9537	0.8324	0.9362	0.1277	0.0319	
SIMSBM_[2]	4	0.8750	0.8511	0.8723	0.8723	0.9491	0.8186	0.9362	0.1277	0.0319	
SIMSBM_[2]	5	0.8660	0.8511	0.8723	0.8723	0.9505	0.8233	0.9362	0.1277	0.0319	
SIMSBM_[2]	6	0.8687	0.8511	0.8723	0.8723	0.9522	0.8243	0.9362	0.1277	0.0319	
SIMSBM_[2]	7	0.8687	0.8511	0.8723	0.8723	0.9532	0.8301	0.9362	0.1277	0.0319	
SIMSBM_[2]	8	0.8632	0.8511	0.8511	0.8511	0.9502	0.8163	0.9255	0.1489	0.0372	
SIMSBM_[2]	9	0.8750	0.8511	0.8723	0.8723	0.9526	0.8269	0.9362	0.1277	0.0319	
