	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[3]	0	0.6992	0.6170	0.6596	0.6170	0.8649	0.7552	0.8085	0.5319	0.1330	
SIMSBM_[3]	1	0.7158	0.6809	0.7447	0.7021	0.8665	0.7351	0.8511	0.4468	0.1117	
SIMSBM_[3]	2	0.6981	0.6170	0.6596	0.6170	0.8664	0.7536	0.8085	0.5319	0.1330	
SIMSBM_[3]	3	0.7158	0.6809	0.7447	0.7021	0.8707	0.7636	0.8511	0.4468	0.1117	
SIMSBM_[3]	4	0.7097	0.6809	0.7234	0.6809	0.8708	0.7670	0.8404	0.4681	0.1170	
SIMSBM_[3]	5	0.6880	0.6170	0.6596	0.6170	0.8667	0.7496	0.8085	0.5319	0.1330	
SIMSBM_[3]	6	0.7083	0.6809	0.7234	0.6809	0.8684	0.7584	0.8404	0.4681	0.1170	
SIMSBM_[3]	7	0.7040	0.6170	0.6596	0.6170	0.8649	0.7512	0.8085	0.5319	0.1330	
SIMSBM_[3]	8	0.7000	0.6383	0.6809	0.6383	0.8651	0.7462	0.8191	0.5106	0.1277	
SIMSBM_[3]	9	0.7049	0.6170	0.6596	0.6170	0.8689	0.7671	0.8085	0.5319	0.1330	
