	fold	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	Freq	
SIMSBM_[3]	0	0.7925	0.7885	0.7692	0.7692	0.8521	0.8628	0.8846	0.2308	0.1154	0.8077	
SIMSBM_[3]	1	0.8077	0.8077	0.8077	0.8077	0.8195	0.8084	0.9038	0.1923	0.0962	0.8077	
SIMSBM_[3]	2	0.9615	0.9615	0.9615	0.9615	0.9808	0.9820	0.9808	0.0385	0.0192	0.9615	
SIMSBM_[3]	3	0.8077	0.8077	0.8077	0.8077	0.8476	0.8402	0.9038	0.1923	0.0962	0.8077	
SIMSBM_[3]	4	0.8519	0.8400	0.8000	0.8000	0.9248	0.9327	0.9000	0.2000	0.1000	0.8000	
SIMSBM_[3]	5	0.8519	0.8400	0.8000	0.8000	0.8864	0.8928	0.9000	0.2000	0.1000	0.8000	
SIMSBM_[3]	6	0.7719	0.7600	0.7600	0.7600	0.8336	0.8430	0.8800	0.2400	0.1200	0.7600	
SIMSBM_[3]	7	0.7407	0.7200	0.7200	0.7200	0.7480	0.7112	0.8600	0.2800	0.1400	0.7200	
SIMSBM_[3]	8	0.8000	0.8000	0.8000	0.8000	0.7936	0.7457	0.9000	0.2000	0.1000	0.8000	
SIMSBM_[3]	9	0.8800	0.8800	0.8800	0.8800	0.8416	0.8300	0.9400	0.1200	0.0600	0.8800	
