	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[3]	0	0.8333	0.7872	0.8085	0.8085	0.9454	0.8046	0.9043	0.1915	0.0479	
SIMSBM_[3]	1	0.8542	0.8085	0.8298	0.8298	0.9487	0.8217	0.9096	0.2128	0.0532	
SIMSBM_[3]	2	0.8333	0.8085	0.8298	0.8298	0.9449	0.8076	0.9149	0.1702	0.0426	
SIMSBM_[3]	3	0.8632	0.8511	0.8723	0.8723	0.9485	0.8216	0.9362	0.1277	0.0319	
SIMSBM_[3]	4	0.8571	0.8298	0.8511	0.8511	0.9481	0.8165	0.9255	0.1489	0.0372	
SIMSBM_[3]	5	0.8400	0.8085	0.8298	0.8298	0.9463	0.8140	0.9149	0.1702	0.0426	
SIMSBM_[3]	6	0.8602	0.8511	0.8723	0.8723	0.9514	0.8356	0.9362	0.1277	0.0319	
SIMSBM_[3]	7	0.8632	0.8511	0.8723	0.8723	0.9487	0.8173	0.9362	0.1277	0.0319	
SIMSBM_[3]	8	0.8235	0.7660	0.8085	0.8085	0.9437	0.8050	0.9043	0.1915	0.0479	
SIMSBM_[3]	9	0.8367	0.8085	0.8298	0.8298	0.9478	0.8220	0.9149	0.1702	0.0426	
