	fold	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	Freq	
SIMSBM_[2]	0	0.8077	0.8077	0.8077	0.8077	0.8743	0.8882	0.9038	0.1923	0.0962	0.8077	
SIMSBM_[2]	1	0.8077	0.8077	0.8077	0.8077	0.8047	0.7606	0.9038	0.1923	0.0962	0.8077	
SIMSBM_[2]	2	0.9615	0.9615	0.9615	0.9615	0.9808	0.9820	0.9808	0.0385	0.0192	0.9615	
SIMSBM_[2]	3	0.8077	0.8077	0.8077	0.8077	0.8269	0.8273	0.9038	0.1923	0.0962	0.8077	
SIMSBM_[2]	4	0.8302	0.8200	0.8000	0.8000	0.9024	0.9112	0.9000	0.2000	0.1000	0.8000	
SIMSBM_[2]	5	0.8519	0.8400	0.8000	0.8000	0.8832	0.8875	0.9000	0.2000	0.1000	0.8000	
SIMSBM_[2]	6	0.7619	0.7600	0.7600	0.7600	0.8272	0.8391	0.8800	0.2400	0.1200	0.7600	
SIMSBM_[2]	7	0.7368	0.7200	0.7200	0.7200	0.7520	0.7133	0.8600	0.2800	0.1400	0.7200	
SIMSBM_[2]	8	0.8000	0.8000	0.8000	0.8000	0.7648	0.7375	0.9000	0.2000	0.1000	0.8000	
SIMSBM_[2]	9	0.8800	0.8800	0.8800	0.8800	0.8448	0.8218	0.9400	0.1200	0.0600	0.8800	
