	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[2]	0	0.7292	0.7021	0.7447	0.7021	0.8605	0.7244	0.8511	0.4468	0.1117	
SIMSBM_[2]	1	0.7292	0.7021	0.7447	0.7021	0.8668	0.7394	0.8511	0.4468	0.1117	
SIMSBM_[2]	2	0.7292	0.7021	0.7447	0.7021	0.8618	0.7231	0.8511	0.4468	0.1117	
SIMSBM_[2]	3	0.7292	0.7021	0.7447	0.7021	0.8664	0.7263	0.8511	0.4468	0.1117	
SIMSBM_[2]	4	0.7292	0.7021	0.7447	0.7021	0.8654	0.7420	0.8511	0.4468	0.1117	
SIMSBM_[2]	5	0.7292	0.7021	0.7447	0.7021	0.8629	0.7349	0.8511	0.4468	0.1117	
SIMSBM_[2]	6	0.7292	0.7021	0.7447	0.7021	0.8657	0.7266	0.8511	0.4468	0.1117	
SIMSBM_[2]	7	0.7216	0.6809	0.7234	0.6809	0.8601	0.7195	0.8404	0.4681	0.1170	
SIMSBM_[2]	8	0.7292	0.7021	0.7447	0.7021	0.8637	0.7252	0.8511	0.4468	0.1117	
SIMSBM_[2]	9	0.7292	0.7021	0.7447	0.7021	0.8655	0.7257	0.8511	0.4468	0.1117	
