	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[2]	0	0.8842	0.8723	0.8723	0.8723	0.9558	0.9165	0.9291	0.1702	0.0426	
SIMSBM_[2]	1	0.8936	0.8723	0.8723	0.8723	0.9590	0.9237	0.9291	0.1702	0.0426	
SIMSBM_[2]	2	0.8842	0.8723	0.8723	0.8723	0.9582	0.9232	0.9291	0.1702	0.0426	
SIMSBM_[2]	3	0.8936	0.8723	0.8723	0.8723	0.9582	0.9224	0.9291	0.1702	0.0426	
SIMSBM_[2]	4	0.8936	0.8723	0.8723	0.8723	0.9568	0.9211	0.9291	0.1702	0.0426	
SIMSBM_[2]	5	0.8842	0.8723	0.8723	0.8723	0.9565	0.9193	0.9291	0.1702	0.0426	
SIMSBM_[2]	6	0.8936	0.8723	0.8723	0.8723	0.9594	0.9243	0.9291	0.1702	0.0426	
SIMSBM_[2]	7	0.8842	0.8723	0.8723	0.8723	0.9567	0.9212	0.9273	0.1915	0.0479	
SIMSBM_[2]	8	0.8842	0.8723	0.8723	0.8723	0.9549	0.9124	0.9291	0.1702	0.0426	
SIMSBM_[2]	9	0.8842	0.8723	0.8723	0.8723	0.9567	0.9209	0.9291	0.1702	0.0426	
