	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[2]	0	0.7216	0.6809	0.7234	0.6809	0.8695	0.7532	0.8404	0.4681	0.1170	
SIMSBM_[2]	1	0.7216	0.6809	0.7234	0.6809	0.8690	0.7534	0.8404	0.4681	0.1170	
SIMSBM_[2]	2	0.7292	0.7021	0.7447	0.7021	0.8751	0.7620	0.8511	0.4468	0.1117	
SIMSBM_[2]	3	0.7292	0.7021	0.7447	0.7021	0.8679	0.7414	0.8511	0.4468	0.1117	
SIMSBM_[2]	4	0.7292	0.7021	0.7447	0.7021	0.8704	0.7510	0.8511	0.4468	0.1117	
SIMSBM_[2]	5	0.7216	0.6809	0.7234	0.6809	0.8671	0.7538	0.8404	0.4681	0.1170	
SIMSBM_[2]	6	0.7216	0.6809	0.7234	0.6809	0.8704	0.7585	0.8404	0.4681	0.1170	
SIMSBM_[2]	7	0.7292	0.7021	0.7447	0.7021	0.8702	0.7554	0.8511	0.4468	0.1117	
SIMSBM_[2]	8	0.7216	0.6809	0.7234	0.6809	0.8695	0.7546	0.8404	0.4681	0.1170	
SIMSBM_[2]	9	0.7292	0.7021	0.7447	0.7021	0.8640	0.7429	0.8511	0.4468	0.1117	
