	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[3]	0	0.8400	0.7872	0.8298	0.8298	0.9478	0.8197	0.9149	0.1702	0.0426	
SIMSBM_[3]	1	0.8387	0.7872	0.8511	0.8511	0.9416	0.8070	0.9255	0.1489	0.0372	
SIMSBM_[3]	2	0.8511	0.8298	0.8511	0.8511	0.9430	0.8055	0.9255	0.1489	0.0372	
SIMSBM_[3]	3	0.8261	0.7872	0.8298	0.8298	0.9427	0.8067	0.9149	0.1702	0.0426	
SIMSBM_[3]	4	0.8333	0.8085	0.8511	0.8511	0.9434	0.8067	0.9255	0.1489	0.0372	
SIMSBM_[3]	5	0.8387	0.7872	0.8511	0.8511	0.9418	0.8072	0.9255	0.1489	0.0372	
SIMSBM_[3]	6	0.8511	0.8085	0.8511	0.8511	0.9421	0.8061	0.9255	0.1489	0.0372	
SIMSBM_[3]	7	0.8421	0.8085	0.8298	0.8298	0.9457	0.8165	0.9149	0.1702	0.0426	
SIMSBM_[3]	8	0.8125	0.7660	0.7872	0.7872	0.9460	0.8219	0.8901	0.2340	0.0585	
SIMSBM_[3]	9	0.8387	0.7872	0.8298	0.8298	0.9411	0.8094	0.9113	0.1915	0.0479	
