	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[2]	0	0.8936	0.8723	0.8723	0.8723	0.9568	0.9212	0.9273	0.1915	0.0479	
SIMSBM_[2]	1	0.8842	0.8723	0.8723	0.8723	0.9584	0.9235	0.9291	0.1702	0.0426	
SIMSBM_[2]	2	0.8842	0.8723	0.8723	0.8723	0.9570	0.9195	0.9291	0.1702	0.0426	
SIMSBM_[2]	3	0.8817	0.8723	0.8723	0.8723	0.9528	0.9059	0.9291	0.1702	0.0426	
SIMSBM_[2]	4	0.8936	0.8723	0.8723	0.8723	0.9584	0.9248	0.9273	0.1915	0.0479	
SIMSBM_[2]	5	0.8842	0.8723	0.8723	0.8723	0.9564	0.9178	0.9291	0.1702	0.0426	
SIMSBM_[2]	6	0.8936	0.8723	0.8723	0.8723	0.9567	0.9212	0.9273	0.1915	0.0479	
SIMSBM_[2]	7	0.8842	0.8723	0.8723	0.8723	0.9567	0.9201	0.9273	0.1915	0.0479	
SIMSBM_[2]	8	0.8936	0.8723	0.8723	0.8723	0.9556	0.9174	0.9273	0.1915	0.0479	
SIMSBM_[2]	9	0.8842	0.8723	0.8723	0.8723	0.9567	0.9201	0.9291	0.1702	0.0426	
