	fold	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	Freq	
SIMSBM_[2]	0	0.9333	0.9286	0.8571	0.8571	0.9796	0.9821	0.9286	0.1429	0.0714	0.7143	
SIMSBM_[2]	1	0.8750	0.8571	0.8571	0.8571	0.9388	0.9478	0.9286	0.1429	0.0714	0.7143	
SIMSBM_[2]	2	0.8571	0.8571	0.8571	0.8571	0.8776	0.8753	0.9286	0.1429	0.0714	0.5714	
SIMSBM_[2]	3	0.7778	0.7143	0.5714	0.5714	0.7755	0.8183	0.7857	0.4286	0.2143	0.7143	
SIMSBM_[2]	4	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000	0.7143	
SIMSBM_[2]	5	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000	0.5714	
SIMSBM_[2]	6	0.8750	0.8571	0.7143	0.7143	0.9184	0.9325	0.8571	0.2857	0.1429	0.7143	
SIMSBM_[2]	7	0.7692	0.7500	0.6667	0.6667	0.7222	0.7461	0.8333	0.3333	0.1667	0.8333	
SIMSBM_[2]	8	0.9231	0.9167	0.8333	0.8333	0.9444	0.9484	0.9167	0.1667	0.0833	0.6667	
SIMSBM_[2]	9	0.8571	0.8333	0.8333	0.8333	0.9167	0.9306	0.9167	0.1667	0.0833	0.6667	
