	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[2]	0	0.8936	0.8723	0.8723	0.8723	0.9564	0.9175	0.9291	0.1702	0.0426	
SIMSBM_[2]	1	0.8817	0.8723	0.8723	0.8723	0.9547	0.9132	0.9291	0.1702	0.0426	
SIMSBM_[2]	2	0.9032	0.8936	0.8936	0.8936	0.9568	0.9181	0.9397	0.1489	0.0372	
SIMSBM_[2]	3	0.8842	0.8723	0.8723	0.8723	0.9549	0.9150	0.9291	0.1702	0.0426	
SIMSBM_[2]	4	0.8936	0.8723	0.8723	0.8723	0.9576	0.9233	0.9291	0.1702	0.0426	
SIMSBM_[2]	5	0.8842	0.8723	0.8723	0.8723	0.9585	0.9242	0.9273	0.1915	0.0479	
SIMSBM_[2]	6	0.8842	0.8723	0.8723	0.8723	0.9571	0.9216	0.9291	0.1702	0.0426	
SIMSBM_[2]	7	0.8817	0.8723	0.8723	0.8723	0.9543	0.9128	0.9291	0.1702	0.0426	
SIMSBM_[2]	8	0.8842	0.8723	0.8723	0.8723	0.9564	0.9189	0.9291	0.1702	0.0426	
SIMSBM_[2]	9	0.8842	0.8723	0.8723	0.8723	0.9553	0.9164	0.9273	0.1915	0.0479	
