	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[1]	0	0.7292	0.7021	0.7447	0.7021	0.8605	0.7179	0.8511	0.4468	0.1117	
SIMSBM_[1]	1	0.7292	0.7021	0.7447	0.7021	0.8624	0.7189	0.8511	0.4468	0.1117	
SIMSBM_[1]	2	0.7292	0.7021	0.7447	0.7021	0.8624	0.7188	0.8511	0.4468	0.1117	
SIMSBM_[1]	3	0.7292	0.7021	0.7447	0.7021	0.8624	0.7188	0.8511	0.4468	0.1117	
SIMSBM_[1]	4	0.7292	0.7021	0.7447	0.7021	0.8608	0.7181	0.8511	0.4468	0.1117	
SIMSBM_[1]	5	0.7292	0.7021	0.7447	0.7021	0.8588	0.7172	0.8511	0.4468	0.1117	
SIMSBM_[1]	6	0.7292	0.7021	0.7447	0.7021	0.8635	0.7193	0.8511	0.4468	0.1117	
SIMSBM_[1]	7	0.7292	0.7021	0.7447	0.7021	0.8632	0.7190	0.8511	0.4468	0.1117	
SIMSBM_[1]	8	0.7292	0.7021	0.7447	0.7021	0.8624	0.7189	0.8511	0.4468	0.1117	
SIMSBM_[1]	9	0.7292	0.7021	0.7447	0.7021	0.8624	0.7189	0.8511	0.4468	0.1117	
