	fold	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	Freq	
SIMSBM_[1]	0	0.9333	0.9286	0.8571	0.8571	0.9796	0.9821	0.9286	0.1429	0.0714	0.7143	
SIMSBM_[1]	1	0.8571	0.8571	0.8571	0.8571	0.8980	0.9129	0.9286	0.1429	0.0714	0.7143	
SIMSBM_[1]	2	0.8000	0.7857	0.7143	0.7143	0.8163	0.8167	0.8571	0.2857	0.1429	0.5714	
SIMSBM_[1]	3	0.7778	0.7143	0.7143	0.7143	0.7551	0.8025	0.8571	0.2857	0.1429	0.7143	
SIMSBM_[1]	4	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000	0.7143	
SIMSBM_[1]	5	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000	0.5714	
SIMSBM_[1]	6	0.8235	0.7857	0.7143	0.7143	0.8367	0.8687	0.8571	0.2857	0.1429	0.7143	
SIMSBM_[1]	7	0.7059	0.5833	0.5000	0.5000	0.5833	0.6565	0.7500	0.5000	0.2500	0.8333	
SIMSBM_[1]	8	0.8333	0.8333	0.8333	0.8333	0.8056	0.8389	0.9167	0.1667	0.0833	0.6667	
SIMSBM_[1]	9	0.8571	0.8333	0.6667	0.6667	0.8889	0.9107	0.8333	0.3333	0.1667	0.6667	
