	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[3]	0	0.8817	0.8723	0.8723	0.8723	0.9571	0.9190	0.9273	0.1915	0.0479	
SIMSBM_[3]	1	0.8936	0.8723	0.8723	0.8723	0.9588	0.9257	0.9273	0.1915	0.0479	
SIMSBM_[3]	2	0.8696	0.8511	0.8723	0.8723	0.9510	0.8994	0.9291	0.1702	0.0426	
SIMSBM_[3]	3	0.8817	0.8723	0.8723	0.8723	0.9570	0.9188	0.9309	0.1702	0.0426	
SIMSBM_[3]	4	0.8817	0.8723	0.8723	0.8723	0.9558	0.9137	0.9273	0.1915	0.0479	
SIMSBM_[3]	5	0.8817	0.8723	0.8723	0.8723	0.9558	0.9158	0.9309	0.1702	0.0426	
SIMSBM_[3]	6	0.8936	0.8723	0.8936	0.8936	0.9593	0.9248	0.9397	0.1489	0.0372	
SIMSBM_[3]	7	0.8817	0.8723	0.8723	0.8723	0.9587	0.9240	0.9273	0.1915	0.0479	
SIMSBM_[3]	8	0.8696	0.8511	0.8723	0.8723	0.9555	0.9163	0.9273	0.1915	0.0479	
SIMSBM_[3]	9	0.8817	0.8723	0.8723	0.8723	0.9559	0.9172	0.9326	0.1489	0.0372	
