	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[2]	0	0.8211	0.8085	0.8085	0.8085	0.9227	0.7804	0.9007	0.2128	0.0532	
SIMSBM_[2]	1	0.8211	0.8085	0.8085	0.8085	0.9208	0.7803	0.9007	0.2128	0.0532	
SIMSBM_[2]	2	0.8211	0.8085	0.8085	0.8085	0.9220	0.7712	0.9007	0.2128	0.0532	
SIMSBM_[2]	3	0.8211	0.8085	0.8085	0.8085	0.9233	0.7674	0.9007	0.2128	0.0532	
SIMSBM_[2]	4	0.8211	0.8085	0.8085	0.8085	0.9217	0.7649	0.9007	0.2128	0.0532	
SIMSBM_[2]	5	0.8211	0.8085	0.8085	0.8085	0.9220	0.7739	0.9007	0.2128	0.0532	
SIMSBM_[2]	6	0.8211	0.8085	0.8085	0.8085	0.9206	0.7700	0.9007	0.2128	0.0532	
SIMSBM_[2]	7	0.8211	0.8085	0.8085	0.8085	0.9214	0.7803	0.9007	0.2128	0.0532	
SIMSBM_[2]	8	0.8211	0.8085	0.8085	0.8085	0.9235	0.7826	0.9007	0.2128	0.0532	
SIMSBM_[2]	9	0.8211	0.8085	0.8085	0.8085	0.9197	0.7761	0.9007	0.2128	0.0532	
