	fold	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	Freq	
SIMSBM_[2]	0	0.8000	0.7778	0.7778	0.7778	0.8148	0.8162	0.8889	0.2222	0.1111	0.6667	
SIMSBM_[2]	1	0.8750	0.8750	0.8750	0.8750	0.8125	0.7894	0.9375	0.1250	0.0625	0.6250	
SIMSBM_[2]	2	0.8750	0.8750	0.8750	0.8750	0.8906	0.9040	0.9375	0.1250	0.0625	0.6250	
SIMSBM_[2]	3	0.8235	0.8125	0.7500	0.7500	0.8125	0.8237	0.8750	0.2500	0.1250	0.6250	
SIMSBM_[2]	4	0.7778	0.7500	0.6250	0.6250	0.7969	0.8311	0.8125	0.3750	0.1875	0.8750	
SIMSBM_[2]	5	0.7778	0.7500	0.6250	0.6250	0.7656	0.7902	0.8125	0.3750	0.1875	0.6250	
SIMSBM_[2]	6	0.9412	0.9375	0.8750	0.8750	0.9844	0.9861	0.9375	0.1250	0.0625	0.6250	
SIMSBM_[2]	7	0.9412	0.9375	0.8750	0.8750	0.9844	0.9861	0.9375	0.1250	0.0625	0.7500	
SIMSBM_[2]	8	0.8750	0.8750	0.8750	0.8750	0.9219	0.9324	0.9375	0.1250	0.0625	0.6250	
SIMSBM_[2]	9	0.7619	0.6875	0.6250	0.6250	0.6719	0.7426	0.8125	0.3750	0.1875	0.5000	
