	fold	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	Freq	
SIMSBM_[3]	0	0.8056	0.7879	0.6970	0.6970	0.8108	0.8114	0.8485	0.3030	0.1515	0.8788	
SIMSBM_[3]	1	0.7750	0.7576	0.6970	0.6970	0.8182	0.8289	0.8485	0.3030	0.1515	0.7576	
SIMSBM_[3]	2	0.8611	0.8485	0.8182	0.8182	0.9027	0.8944	0.9091	0.1818	0.0909	0.8485	
SIMSBM_[3]	3	0.8485	0.8485	0.8485	0.8485	0.8871	0.8953	0.9242	0.1515	0.0758	0.8182	
SIMSBM_[3]	4	0.8750	0.8750	0.8750	0.8750	0.8867	0.8801	0.9375	0.1250	0.0625	0.8750	
SIMSBM_[3]	5	0.8438	0.8438	0.8438	0.8438	0.8682	0.8652	0.9219	0.1562	0.0781	0.8438	
SIMSBM_[3]	6	0.8750	0.8750	0.8750	0.8750	0.8916	0.8845	0.9375	0.1250	0.0625	0.8750	
SIMSBM_[3]	7	0.7126	0.6875	0.6875	0.6875	0.7168	0.7354	0.8438	0.3125	0.1562	0.6875	
SIMSBM_[3]	8	0.7397	0.7031	0.6875	0.6875	0.7559	0.7400	0.8438	0.3125	0.1562	0.6875	
SIMSBM_[3]	9	0.8788	0.8750	0.8750	0.8750	0.9429	0.9460	0.9375	0.1250	0.0625	0.8438	
