	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[1]	0	0.8632	0.8511	0.8511	0.8511	0.9475	0.8106	0.9255	0.1489	0.0372	
SIMSBM_[1]	1	0.8602	0.8511	0.8511	0.8511	0.9470	0.8065	0.9255	0.1489	0.0372	
SIMSBM_[1]	2	0.8602	0.8511	0.8511	0.8511	0.9470	0.8065	0.9255	0.1489	0.0372	
SIMSBM_[1]	3	0.8632	0.8511	0.8511	0.8511	0.9475	0.8106	0.9255	0.1489	0.0372	
SIMSBM_[1]	4	0.8602	0.8511	0.8511	0.8511	0.9470	0.8065	0.9255	0.1489	0.0372	
SIMSBM_[1]	5	0.8660	0.8511	0.8511	0.8511	0.9463	0.8057	0.9255	0.1489	0.0372	
SIMSBM_[1]	6	0.8660	0.8511	0.8511	0.8511	0.9463	0.8057	0.9255	0.1489	0.0372	
SIMSBM_[1]	7	0.8602	0.8511	0.8511	0.8511	0.9470	0.8065	0.9255	0.1489	0.0372	
SIMSBM_[1]	8	0.8602	0.8511	0.8511	0.8511	0.9470	0.8065	0.9255	0.1489	0.0372	
SIMSBM_[1]	9	0.8602	0.8511	0.8511	0.8511	0.9470	0.8065	0.9255	0.1489	0.0372	
