	run	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[2]	58	0.8200	0.7872	0.7872	0.9508	0.8539	0.8901	0.2340	0.0585	
SIMSBM_[2]	59	0.8119	0.7872	0.7872	0.9498	0.8517	0.8901	0.2340	0.0585	
SIMSBM_[2]	60	0.8119	0.7872	0.7872	0.9479	0.8434	0.8901	0.2340	0.0585	
SIMSBM_[2]	61	0.8200	0.7872	0.7872	0.9507	0.8529	0.8901	0.2340	0.0585	
SIMSBM_[2]	62	0.8200	0.7872	0.7872	0.9528	0.8681	0.8901	0.2340	0.0585	
SIMSBM_[2]	63	0.8119	0.7872	0.7872	0.9487	0.8457	0.8901	0.2340	0.0585	
SIMSBM_[2]	64	0.8200	0.7872	0.7872	0.9499	0.8439	0.8901	0.2340	0.0585	
SIMSBM_[2]	65	0.8200	0.7872	0.7872	0.9511	0.8543	0.8901	0.2340	0.0585	
SIMSBM_[2]	66	0.8200	0.7872	0.7872	0.9522	0.8527	0.8901	0.2340	0.0585	
SIMSBM_[2]	67	0.8200	0.7872	0.7872	0.9484	0.8459	0.8901	0.2340	0.0585	
SIMSBM_[2]	68	0.8119	0.7872	0.7872	0.9476	0.8412	0.8901	0.2340	0.0585	
SIMSBM_[2]	69	0.8119	0.7872	0.7872	0.9499	0.8516	0.8901	0.2340	0.0585	
SIMSBM_[2]	70	0.8200	0.7872	0.7872	0.9499	0.8448	0.8901	0.2340	0.0585	
SIMSBM_[2]	71	0.8119	0.7872	0.7872	0.9496	0.8432	0.8901	0.2340	0.0585	
SIMSBM_[2]	72	0.8000	0.7872	0.7872	0.9476	0.8471	0.8901	0.2340	0.0585	
SIMSBM_[2]	73	0.8039	0.7872	0.7872	0.9493	0.8521	0.8901	0.2340	0.0585	
SIMSBM_[2]	74	0.8200	0.7872	0.7872	0.9511	0.8496	0.8901	0.2340	0.0585	
SIMSBM_[2]	75	0.8200	0.7872	0.7872	0.9501	0.8505	0.8901	0.2340	0.0585	
SIMSBM_[2]	76	0.8200	0.7872	0.7872	0.9499	0.8488	0.8901	0.2340	0.0585	
SIMSBM_[2]	77	0.7963	0.7872	0.7872	0.9460	0.8438	0.8901	0.2340	0.0585	
SIMSBM_[2]	78	0.8200	0.7872	0.7872	0.9505	0.8492	0.8901	0.2340	0.0585	
SIMSBM_[2]	79	0.8200	0.7872	0.7872	0.9484	0.8377	0.8901	0.2340	0.0585	
SIMSBM_[2]	80	0.8200	0.7872	0.7872	0.9505	0.8487	0.8901	0.2340	0.0585	
SIMSBM_[2]	81	0.8119	0.7872	0.7872	0.9494	0.8468	0.8901	0.2340	0.0585	
SIMSBM_[2]	82	0.8119	0.7872	0.7872	0.9479	0.8427	0.8901	0.2340	0.0585	
SIMSBM_[2]	83	0.8119	0.7872	0.7872	0.9478	0.8437	0.8901	0.2340	0.0585	
SIMSBM_[2]	84	0.8037	0.7872	0.7872	0.9464	0.8365	0.8901	0.2340	0.0585	
SIMSBM_[2]	85	0.8200	0.7872	0.7872	0.9517	0.8533	0.8901	0.2340	0.0585	
SIMSBM_[2]	86	0.8119	0.7872	0.7872	0.9484	0.8454	0.8901	0.2340	0.0585	
SIMSBM_[2]	87	0.8200	0.7872	0.7872	0.9496	0.8446	0.8901	0.2340	0.0585	
SIMSBM_[2]	88	0.8119	0.7872	0.7872	0.9479	0.8399	0.8901	0.2340	0.0585	
SIMSBM_[2]	89	0.8119	0.7872	0.7872	0.9488	0.8490	0.8901	0.2340	0.0585	
SIMSBM_[2]	90	0.8039	0.7872	0.7872	0.9478	0.8461	0.8901	0.2340	0.0585	
SIMSBM_[2]	91	0.8200	0.7872	0.7872	0.9496	0.8507	0.8901	0.2340	0.0585	
SIMSBM_[2]	92	0.8119	0.7872	0.7872	0.9493	0.8507	0.8901	0.2340	0.0585	
SIMSBM_[2]	93	0.8081	0.7872	0.7872	0.9482	0.8437	0.8901	0.2340	0.0585	
SIMSBM_[2]	94	0.8113	0.7872	0.7872	0.9461	0.8391	0.8901	0.2340	0.0585	
SIMSBM_[2]	95	0.8119	0.7872	0.7872	0.9487	0.8460	0.8901	0.2340	0.0585	
SIMSBM_[2]	96	0.8200	0.7872	0.7872	0.9496	0.8516	0.8901	0.2340	0.0585	
SIMSBM_[2]	97	0.8119	0.7872	0.7872	0.9491	0.8463	0.8901	0.2340	0.0585	
SIMSBM_[2]	98	0.8119	0.7872	0.7872	0.9499	0.8516	0.8901	0.2340	0.0585	
SIMSBM_[2]	99	0.8200	0.7872	0.7872	0.9507	0.8514	0.8901	0.2340	0.0585	
