	fold	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	Freq	
SIMSBM_[1]	0	0.8788	0.8788	0.8788	0.8788	0.8567	0.8545	0.9394	0.1212	0.0606	0.8788	
SIMSBM_[1]	1	0.7895	0.7727	0.7576	0.7576	0.8365	0.8404	0.8788	0.2424	0.1212	0.7576	
SIMSBM_[1]	2	0.8657	0.8636	0.8485	0.8485	0.9054	0.8971	0.9242	0.1515	0.0758	0.8485	
SIMSBM_[1]	3	0.8182	0.8182	0.8182	0.8182	0.8494	0.8526	0.9091	0.1818	0.0909	0.8182	
SIMSBM_[1]	4	0.8750	0.8750	0.8750	0.8750	0.8594	0.8387	0.9375	0.1250	0.0625	0.8750	
SIMSBM_[1]	5	0.8438	0.8438	0.8438	0.8438	0.8779	0.8742	0.9219	0.1562	0.0781	0.8438	
SIMSBM_[1]	6	0.8923	0.8906	0.8750	0.8750	0.9111	0.9100	0.9375	0.1250	0.0625	0.8750	
SIMSBM_[1]	7	0.6977	0.6875	0.6875	0.6875	0.6914	0.7049	0.8438	0.3125	0.1562	0.6875	
SIMSBM_[1]	8	0.7246	0.7031	0.6875	0.6875	0.7212	0.7099	0.8438	0.3125	0.1562	0.6875	
SIMSBM_[1]	9	0.8571	0.8438	0.8438	0.8438	0.9189	0.9206	0.9219	0.1562	0.0781	0.8438	
