	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[3]	0	0.8333	0.7273	0.7273	0.7273	0.9091	0.9077	0.8636	0.2727	0.1364	
SIMSBM_[3]	1	0.7692	0.7273	0.7273	0.7273	0.8099	0.8242	0.8636	0.2727	0.1364	
SIMSBM_[3]	2	0.8148	0.7273	0.7273	0.7273	0.8430	0.8592	0.8636	0.2727	0.1364	
SIMSBM_[3]	3	0.7586	0.7273	0.7273	0.7273	0.7438	0.7748	0.8636	0.2727	0.1364	
SIMSBM_[3]	4	0.7826	0.7273	0.7273	0.7273	0.8430	0.8473	0.8636	0.2727	0.1364	
SIMSBM_[3]	5	0.7857	0.6364	0.6364	0.6364	0.8017	0.8266	0.8182	0.3636	0.1818	
SIMSBM_[3]	6	0.7826	0.7273	0.7273	0.7273	0.8430	0.8473	0.8636	0.2727	0.1364	
SIMSBM_[3]	7	0.7826	0.7273	0.7273	0.7273	0.8430	0.8473	0.8636	0.2727	0.1364	
SIMSBM_[3]	8	0.8333	0.7273	0.7273	0.7273	0.8926	0.8914	0.8636	0.2727	0.1364	
SIMSBM_[3]	9	0.7586	0.6364	0.6364	0.6364	0.7686	0.7947	0.8182	0.3636	0.1818	
