	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[2]	0	0.7333	0.6364	0.6364	0.6364	0.6860	0.7293	0.8182	0.3636	0.1818	
SIMSBM_[2]	1	0.7097	0.3636	0.3636	0.3636	0.3967	0.5487	0.6818	0.6364	0.3182	
SIMSBM_[2]	2	0.7097	0.3636	0.3636	0.3636	0.3967	0.5487	0.6818	0.6364	0.3182	
SIMSBM_[2]	3	0.7333	0.6364	0.6364	0.6364	0.6860	0.7293	0.8182	0.3636	0.1818	
SIMSBM_[2]	4	0.7097	0.3636	0.3636	0.3636	0.3967	0.5487	0.6818	0.6364	0.3182	
SIMSBM_[2]	5	0.7333	0.6364	0.6364	0.6364	0.6860	0.7293	0.8182	0.3636	0.1818	
SIMSBM_[2]	6	0.7333	0.6364	0.6364	0.6364	0.6860	0.7293	0.8182	0.3636	0.1818	
SIMSBM_[2]	7	0.7333	0.6364	0.6364	0.6364	0.6860	0.7293	0.8182	0.3636	0.1818	
SIMSBM_[2]	8	0.7097	0.3636	0.3636	0.3636	0.3967	0.5487	0.6818	0.6364	0.3182	
SIMSBM_[2]	9	0.7097	0.3636	0.3636	0.3636	0.3967	0.5487	0.6818	0.6364	0.3182	
