	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[3]	0	0.8155	0.7660	0.7872	0.7872	0.9457	0.8223	0.8865	0.2553	0.0638	
SIMSBM_[3]	1	0.8037	0.7872	0.7872	0.7872	0.9452	0.8444	0.8865	0.2553	0.0638	
SIMSBM_[3]	2	0.7959	0.7872	0.7872	0.7872	0.9427	0.8334	0.8901	0.2340	0.0585	
SIMSBM_[3]	3	0.8113	0.7660	0.7872	0.7872	0.9422	0.8370	0.8901	0.2340	0.0585	
SIMSBM_[3]	4	0.8113	0.7660	0.7872	0.7872	0.9472	0.8408	0.8901	0.2340	0.0585	
SIMSBM_[3]	5	0.8269	0.7872	0.7872	0.7872	0.9448	0.8240	0.8901	0.2340	0.0585	
SIMSBM_[3]	6	0.8190	0.7872	0.7872	0.7872	0.9446	0.8375	0.8901	0.2340	0.0585	
SIMSBM_[3]	7	0.8200	0.7872	0.7872	0.7872	0.9470	0.8442	0.8901	0.2340	0.0585	
SIMSBM_[3]	8	0.8113	0.7872	0.7872	0.7872	0.9469	0.8439	0.8901	0.2340	0.0585	
SIMSBM_[3]	9	0.8235	0.7660	0.7660	0.7660	0.9499	0.8530	0.8794	0.2553	0.0638	
