	fold	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	Freq	
SIMSBM_[3]	0	0.8788	0.8788	0.8788	0.8788	0.8457	0.8419	0.9394	0.1212	0.0606	0.8788	
SIMSBM_[3]	1	0.7654	0.7424	0.6970	0.6970	0.8090	0.8215	0.8485	0.3030	0.1515	0.7576	
SIMSBM_[3]	2	0.8611	0.8485	0.7879	0.7879	0.8999	0.8923	0.8939	0.2121	0.1061	0.8485	
SIMSBM_[3]	3	0.8406	0.8333	0.8182	0.8182	0.8953	0.9007	0.9091	0.1818	0.0909	0.8182	
SIMSBM_[3]	4	0.8750	0.8750	0.8750	0.8750	0.8945	0.8725	0.9375	0.1250	0.0625	0.8750	
SIMSBM_[3]	5	0.8438	0.8438	0.8438	0.8438	0.8740	0.8711	0.9219	0.1562	0.0781	0.8438	
SIMSBM_[3]	6	0.9062	0.9062	0.9062	0.9062	0.8984	0.8943	0.9531	0.0938	0.0469	0.8750	
SIMSBM_[3]	7	0.7126	0.6875	0.6875	0.6875	0.7168	0.7326	0.8438	0.3125	0.1562	0.6875	
SIMSBM_[3]	8	0.7397	0.7031	0.6875	0.6875	0.7593	0.7426	0.8438	0.3125	0.1562	0.6875	
SIMSBM_[3]	9	0.8529	0.8438	0.8438	0.8438	0.9272	0.9314	0.9219	0.1562	0.0781	0.8438	
