	fold	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	Freq	
SIMSBM_[3]	0	0.8136	0.8077	0.8077	0.8077	0.8683	0.8793	0.9038	0.1923	0.0962	0.8077	
SIMSBM_[3]	1	0.8077	0.8077	0.8077	0.8077	0.8232	0.7984	0.9038	0.1923	0.0962	0.8077	
SIMSBM_[3]	2	0.9615	0.9615	0.9615	0.9615	0.9808	0.9820	0.9808	0.0385	0.0192	0.9615	
SIMSBM_[3]	3	0.8077	0.8077	0.8077	0.8077	0.8240	0.8032	0.9038	0.1923	0.0962	0.8077	
SIMSBM_[3]	4	0.8519	0.8400	0.8000	0.8000	0.9248	0.9327	0.9000	0.2000	0.1000	0.8000	
SIMSBM_[3]	5	0.8364	0.8200	0.8000	0.8000	0.8896	0.8975	0.9000	0.2000	0.1000	0.8000	
SIMSBM_[3]	6	0.7843	0.7800	0.7600	0.7600	0.8304	0.8396	0.8800	0.2400	0.1200	0.7600	
SIMSBM_[3]	7	0.7407	0.7200	0.7200	0.7200	0.7488	0.7145	0.8600	0.2800	0.1400	0.7200	
SIMSBM_[3]	8	0.8000	0.8000	0.8000	0.8000	0.7936	0.7609	0.9000	0.2000	0.1000	0.8000	
SIMSBM_[3]	9	0.8800	0.8800	0.8800	0.8800	0.8416	0.8264	0.9400	0.1200	0.0600	0.8800	
