	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[1]	0	0.7097	0.3636	0.3636	0.3636	0.4793	0.5997	0.6818	0.6364	0.3182	
SIMSBM_[1]	1	0.7097	0.3636	0.3636	0.3636	0.4793	0.5997	0.6818	0.6364	0.3182	
SIMSBM_[1]	2	0.7097	0.3636	0.3636	0.3636	0.4793	0.5997	0.6818	0.6364	0.3182	
SIMSBM_[1]	3	0.7097	0.3636	0.3636	0.3636	0.4793	0.5997	0.6818	0.6364	0.3182	
SIMSBM_[1]	4	0.7097	0.3636	0.3636	0.3636	0.4793	0.5997	0.6818	0.6364	0.3182	
SIMSBM_[1]	5	0.7097	0.3636	0.3636	0.3636	0.4793	0.5997	0.6818	0.6364	0.3182	
SIMSBM_[1]	6	0.7097	0.3636	0.3636	0.3636	0.4793	0.5997	0.6818	0.6364	0.3182	
SIMSBM_[1]	7	0.7097	0.3636	0.3636	0.3636	0.4793	0.5997	0.6818	0.6364	0.3182	
SIMSBM_[1]	8	0.7097	0.3636	0.3636	0.3636	0.4793	0.5997	0.6818	0.6364	0.3182	
SIMSBM_[1]	9	0.7097	0.3636	0.3636	0.3636	0.4793	0.5997	0.6818	0.6364	0.3182	
