	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[3]	0	0.7826	0.7273	0.7273	0.7273	0.7934	0.8174	0.8636	0.2727	0.1364	
SIMSBM_[3]	1	0.7586	0.7273	0.7273	0.7273	0.7603	0.7967	0.8636	0.2727	0.1364	
SIMSBM_[3]	2	0.7500	0.7273	0.7273	0.7273	0.7107	0.7277	0.8636	0.2727	0.1364	
SIMSBM_[3]	3	0.7826	0.7273	0.7273	0.7273	0.7934	0.8174	0.8636	0.2727	0.1364	
SIMSBM_[3]	4	0.7500	0.7273	0.7273	0.7273	0.7107	0.7277	0.8636	0.2727	0.1364	
SIMSBM_[3]	5	0.7826	0.7273	0.7273	0.7273	0.7934	0.8174	0.8636	0.2727	0.1364	
SIMSBM_[3]	6	0.7407	0.5455	0.5455	0.5455	0.6942	0.7294	0.7727	0.4545	0.2273	
SIMSBM_[3]	7	0.7407	0.5455	0.5455	0.5455	0.6942	0.7294	0.7727	0.4545	0.2273	
SIMSBM_[3]	8	0.7586	0.7273	0.7273	0.7273	0.7603	0.7967	0.8636	0.2727	0.1364	
SIMSBM_[3]	9	0.7586	0.7273	0.7273	0.7273	0.7603	0.7967	0.8636	0.2727	0.1364	
