	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[3]	0	0.8333	0.7273	0.7273	0.7273	0.7934	0.7446	0.8636	0.2727	0.1364	
SIMSBM_[3]	1	0.8333	0.7273	0.7273	0.7273	0.7934	0.7446	0.8636	0.2727	0.1364	
SIMSBM_[3]	2	0.7826	0.7273	0.7273	0.7273	0.7438	0.7048	0.8636	0.2727	0.1364	
SIMSBM_[3]	3	0.8333	0.8182	0.8182	0.8182	0.8017	0.7508	0.9091	0.1818	0.0909	
SIMSBM_[3]	4	0.8696	0.8182	0.8182	0.8182	0.8182	0.7640	0.9091	0.1818	0.0909	
SIMSBM_[3]	5	0.8333	0.8182	0.8182	0.8182	0.8017	0.7508	0.9091	0.1818	0.0909	
SIMSBM_[3]	6	0.7826	0.7273	0.7273	0.7273	0.7273	0.6906	0.8636	0.2727	0.1364	
SIMSBM_[3]	7	0.8333	0.8182	0.8182	0.8182	0.8017	0.7508	0.9091	0.1818	0.0909	
SIMSBM_[3]	8	0.8333	0.7273	0.7273	0.7273	0.7934	0.7446	0.8636	0.2727	0.1364	
SIMSBM_[3]	9	0.8333	0.7273	0.7273	0.7273	0.8264	0.8249	0.8636	0.2727	0.1364	
