	run	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[2]	0	0.8303	0.6364	0.6364	1.0000	1.0000	0.8182	0.3636	0.1818	
SIMSBM_[2]	1	0.8303	0.6364	0.6364	1.0000	1.0000	0.8182	0.3636	0.1818	
SIMSBM_[2]	2	0.7814	0.6364	0.6364	0.9286	0.9389	0.8182	0.3636	0.1818	
SIMSBM_[2]	3	0.8303	0.6364	0.6364	1.0000	1.0000	0.8182	0.3636	0.1818	
SIMSBM_[2]	4	0.7814	0.6364	0.6364	0.9286	0.9389	0.8182	0.3636	0.1818	
SIMSBM_[2]	5	0.8303	0.4545	0.4545	1.0000	1.0000	0.7273	0.5455	0.2727	
SIMSBM_[2]	6	0.7814	0.6364	0.6364	0.9286	0.9389	0.8182	0.3636	0.1818	
SIMSBM_[2]	7	0.7814	0.6364	0.6364	0.9286	0.9389	0.8182	0.3636	0.1818	
SIMSBM_[2]	8	0.8303	0.6364	0.6364	1.0000	1.0000	0.8182	0.3636	0.1818	
SIMSBM_[2]	9	0.8442	0.7273	0.7273	1.0000	1.0000	0.8636	0.2727	0.1364	
