	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[3]	0	0.7692	0.7273	0.7273	0.7273	0.8099	0.8332	0.8636	0.2727	0.1364	
SIMSBM_[3]	1	0.7407	0.6364	0.6364	0.6364	0.7521	0.7815	0.8182	0.3636	0.1818	
SIMSBM_[3]	2	0.7333	0.6364	0.6364	0.6364	0.6860	0.7354	0.8182	0.3636	0.1818	
SIMSBM_[3]	3	0.8182	0.8182	0.8182	0.8182	0.8512	0.8697	0.9091	0.1818	0.0909	
SIMSBM_[3]	4	0.7500	0.7273	0.7273	0.7273	0.7769	0.7986	0.8636	0.2727	0.1364	
SIMSBM_[3]	5	0.7826	0.7273	0.7273	0.7273	0.7934	0.8174	0.8636	0.2727	0.1364	
SIMSBM_[3]	6	0.7407	0.6364	0.6364	0.6364	0.7521	0.7815	0.8182	0.3636	0.1818	
SIMSBM_[3]	7	0.7407	0.6364	0.6364	0.6364	0.7521	0.7815	0.8182	0.3636	0.1818	
SIMSBM_[3]	8	0.7407	0.6364	0.6364	0.6364	0.7521	0.7815	0.8182	0.3636	0.1818	
SIMSBM_[3]	9	0.7692	0.7273	0.7273	0.7273	0.8099	0.8332	0.8636	0.2727	0.1364	
