	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[2]	0	0.8211	0.8085	0.8085	0.8085	0.9242	0.7716	0.9007	0.2128	0.0532	
SIMSBM_[2]	1	0.8211	0.8085	0.8085	0.8085	0.9235	0.7670	0.9007	0.2128	0.0532	
SIMSBM_[2]	2	0.8211	0.8085	0.8085	0.8085	0.9253	0.7840	0.9007	0.2128	0.0532	
SIMSBM_[2]	3	0.8211	0.8085	0.8085	0.8085	0.9242	0.7780	0.9007	0.2128	0.0532	
SIMSBM_[2]	4	0.8211	0.8085	0.8085	0.8085	0.9233	0.7694	0.9007	0.2128	0.0532	
SIMSBM_[2]	5	0.8211	0.8085	0.8085	0.8085	0.9232	0.7715	0.9007	0.2128	0.0532	
SIMSBM_[2]	6	0.8211	0.8085	0.8085	0.8085	0.9241	0.7789	0.9007	0.2128	0.0532	
SIMSBM_[2]	7	0.8211	0.8085	0.8085	0.8085	0.9270	0.7835	0.9007	0.2128	0.0532	
SIMSBM_[2]	8	0.8211	0.8085	0.8085	0.8085	0.9233	0.7820	0.9007	0.2128	0.0532	
SIMSBM_[2]	9	0.8211	0.8085	0.8085	0.8085	0.9233	0.7800	0.9007	0.2128	0.0532	
