	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[3]	0	0.8817	0.8723	0.8723	0.8723	0.9516	0.8989	0.9309	0.1702	0.0426	
SIMSBM_[3]	1	0.8913	0.8723	0.8936	0.8936	0.9581	0.9226	0.9379	0.1702	0.0426	
SIMSBM_[3]	2	0.8696	0.8511	0.8723	0.8723	0.9496	0.8929	0.9309	0.1702	0.0426	
SIMSBM_[3]	3	0.8454	0.7872	0.7872	0.7872	0.9436	0.8771	0.8901	0.2340	0.0585	
SIMSBM_[3]	4	0.8696	0.8511	0.8723	0.8723	0.9550	0.9129	0.9326	0.1489	0.0372	
SIMSBM_[3]	5	0.8817	0.8723	0.8723	0.8723	0.9491	0.8959	0.9326	0.1489	0.0372	
SIMSBM_[3]	6	0.9032	0.8936	0.8936	0.8936	0.9605	0.9284	0.9415	0.1489	0.0372	
SIMSBM_[3]	7	0.8696	0.8511	0.8723	0.8723	0.9550	0.9127	0.9326	0.1489	0.0372	
SIMSBM_[3]	8	0.8817	0.8723	0.8723	0.8723	0.9502	0.8939	0.9309	0.1702	0.0426	
SIMSBM_[3]	9	0.8696	0.8511	0.8723	0.8723	0.9494	0.8950	0.9291	0.1702	0.0426	
