	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[2]	0	0.8936	0.8723	0.8723	0.8723	0.9567	0.9173	0.9291	0.1702	0.0426	
SIMSBM_[2]	1	0.8842	0.8723	0.8723	0.8723	0.9559	0.9194	0.9273	0.1915	0.0479	
SIMSBM_[2]	2	0.8936	0.8723	0.8936	0.8936	0.9567	0.9155	0.9397	0.1489	0.0372	
SIMSBM_[2]	3	0.9032	0.8936	0.8936	0.8936	0.9570	0.9184	0.9397	0.1489	0.0372	
SIMSBM_[2]	4	0.9032	0.8936	0.8936	0.8936	0.9565	0.9173	0.9397	0.1489	0.0372	
SIMSBM_[2]	5	0.8936	0.8723	0.8723	0.8723	0.9559	0.9166	0.9291	0.1702	0.0426	
SIMSBM_[2]	6	0.8936	0.8723	0.8936	0.8936	0.9564	0.9179	0.9397	0.1489	0.0372	
SIMSBM_[2]	7	0.8842	0.8723	0.8723	0.8723	0.9559	0.9151	0.9291	0.1702	0.0426	
SIMSBM_[2]	8	0.8842	0.8723	0.8723	0.8723	0.9558	0.9189	0.9273	0.1915	0.0479	
SIMSBM_[2]	9	0.8936	0.8723	0.8723	0.8723	0.9582	0.9236	0.9291	0.1702	0.0426	
