	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[3]	0	0.8367	0.7660	0.7872	0.7872	0.9502	0.9072	0.8848	0.2766	0.0691	
SIMSBM_[3]	1	0.8367	0.7660	0.7872	0.7872	0.9501	0.9063	0.8848	0.2766	0.0691	
SIMSBM_[3]	2	0.8817	0.8723	0.8723	0.8723	0.9519	0.9175	0.9291	0.1702	0.0426	
SIMSBM_[3]	3	0.8817	0.8723	0.8723	0.8723	0.9526	0.9081	0.9273	0.1915	0.0479	
SIMSBM_[3]	4	0.8817	0.8723	0.8723	0.8723	0.9537	0.9103	0.9273	0.1915	0.0479	
SIMSBM_[3]	5	0.8817	0.8723	0.8723	0.8723	0.9519	0.9175	0.9291	0.1702	0.0426	
SIMSBM_[3]	6	0.8696	0.8511	0.8723	0.8723	0.9520	0.8987	0.9291	0.1702	0.0426	
SIMSBM_[3]	7	0.8817	0.8723	0.8723	0.8723	0.9537	0.9107	0.9273	0.1915	0.0479	
SIMSBM_[3]	8	0.8367	0.7660	0.7872	0.7872	0.9504	0.9084	0.8848	0.2766	0.0691	
SIMSBM_[3]	9	0.8696	0.8511	0.8723	0.8723	0.9522	0.8987	0.9291	0.1702	0.0426	
