	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[2]	0	0.8750	0.8511	0.8723	0.8723	0.9519	0.8258	0.9362	0.1277	0.0319	
SIMSBM_[2]	1	0.8750	0.8511	0.8723	0.8723	0.9511	0.8233	0.9362	0.1277	0.0319	
SIMSBM_[2]	2	0.8750	0.8511	0.8723	0.8723	0.9516	0.8203	0.9362	0.1277	0.0319	
SIMSBM_[2]	3	0.8485	0.8298	0.8298	0.8298	0.9487	0.8181	0.9149	0.1702	0.0426	
SIMSBM_[2]	4	0.8750	0.8511	0.8511	0.8511	0.9498	0.8124	0.9255	0.1489	0.0372	
SIMSBM_[2]	5	0.8660	0.8298	0.8511	0.8511	0.9493	0.8210	0.9255	0.1489	0.0372	
SIMSBM_[2]	6	0.8750	0.8511	0.8723	0.8723	0.9507	0.8213	0.9362	0.1277	0.0319	
SIMSBM_[2]	7	0.8660	0.8511	0.8723	0.8723	0.9514	0.8277	0.9362	0.1277	0.0319	
SIMSBM_[2]	8	0.8750	0.8511	0.8723	0.8723	0.9511	0.8258	0.9362	0.1277	0.0319	
SIMSBM_[2]	9	0.8750	0.8511	0.8723	0.8723	0.9525	0.8258	0.9362	0.1277	0.0319	
