	fold	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	Freq	
SIMSBM_[1]	0	0.8214	0.8077	0.8077	0.8077	0.8831	0.8899	0.9038	0.1923	0.0962	0.8077	
SIMSBM_[1]	1	0.8077	0.8077	0.8077	0.8077	0.7574	0.7151	0.9038	0.1923	0.0962	0.8077	
SIMSBM_[1]	2	0.9615	0.9615	0.9615	0.9615	0.9867	0.9875	0.9808	0.0385	0.0192	0.9615	
SIMSBM_[1]	3	0.8148	0.8077	0.8077	0.8077	0.8328	0.8382	0.9038	0.1923	0.0962	0.8077	
SIMSBM_[1]	4	0.8364	0.8200	0.8000	0.8000	0.8608	0.8431	0.9000	0.2000	0.1000	0.8000	
SIMSBM_[1]	5	0.8148	0.8000	0.8000	0.8000	0.8832	0.8942	0.9000	0.2000	0.1000	0.8000	
SIMSBM_[1]	6	0.7600	0.7600	0.7600	0.7600	0.8048	0.8203	0.8800	0.2400	0.1200	0.7600	
SIMSBM_[1]	7	0.7308	0.7200	0.7200	0.7200	0.7280	0.6932	0.8600	0.2800	0.1400	0.7200	
SIMSBM_[1]	8	0.8000	0.8000	0.8000	0.8000	0.7520	0.7358	0.9000	0.2000	0.1000	0.8000	
SIMSBM_[1]	9	0.8800	0.8800	0.8800	0.8800	0.8544	0.8330	0.9400	0.1200	0.0600	0.8800	
