	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[3]	0	0.7692	0.7273	0.7273	0.7273	0.8099	0.8238	0.8636	0.2727	0.1364	
SIMSBM_[3]	1	0.8333	0.7273	0.7273	0.7273	0.8760	0.8735	0.8636	0.2727	0.1364	
SIMSBM_[3]	2	0.7826	0.7273	0.7273	0.7273	0.8430	0.8471	0.8636	0.2727	0.1364	
SIMSBM_[3]	3	0.8333	0.7273	0.7273	0.7273	0.9091	0.9077	0.8636	0.2727	0.1364	
SIMSBM_[3]	4	0.8333	0.7273	0.7273	0.7273	0.8760	0.8735	0.8636	0.2727	0.1364	
SIMSBM_[3]	5	0.8148	0.6364	0.6364	0.6364	0.8512	0.8647	0.8182	0.3636	0.1818	
SIMSBM_[3]	6	0.8333	0.7273	0.7273	0.7273	0.8760	0.8735	0.8636	0.2727	0.1364	
SIMSBM_[3]	7	0.7857	0.6364	0.6364	0.6364	0.8017	0.8266	0.8182	0.3636	0.1818	
SIMSBM_[3]	8	0.8333	0.7273	0.7273	0.7273	0.8760	0.8735	0.8636	0.2727	0.1364	
SIMSBM_[3]	9	0.7826	0.7273	0.7273	0.7273	0.8264	0.8270	0.8636	0.2727	0.1364	
