	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[2]	0	0.8182	0.7000	0.7000	0.7000	0.8700	0.8876	0.8500	0.3000	0.1500	
SIMSBM_[2]	1	0.8182	0.7000	0.7000	0.7000	0.8700	0.8876	0.8500	0.3000	0.1500	
SIMSBM_[2]	2	0.8182	0.7000	0.7000	0.7000	0.8700	0.8876	0.8500	0.3000	0.1500	
SIMSBM_[2]	3	0.8182	0.7000	0.7000	0.7000	0.8500	0.8668	0.8500	0.3000	0.1500	
SIMSBM_[2]	4	0.8182	0.7000	0.7000	0.7000	0.8700	0.8876	0.8500	0.3000	0.1500	
SIMSBM_[2]	5	0.8571	0.8000	0.8000	0.8000	0.8800	0.8898	0.9000	0.2000	0.1000	
SIMSBM_[2]	6	0.8182	0.7000	0.7000	0.7000	0.8500	0.8668	0.8500	0.3000	0.1500	
SIMSBM_[2]	7	0.8182	0.7000	0.7000	0.7000	0.8700	0.8876	0.8500	0.3000	0.1500	
SIMSBM_[2]	8	0.8182	0.7000	0.7000	0.7000	0.8500	0.8668	0.8500	0.3000	0.1500	
SIMSBM_[2]	9	0.8182	0.7000	0.7000	0.7000	0.8700	0.8876	0.8500	0.3000	0.1500	
