	run	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[1]	0	0.7292	0.7021	0.7447	0.7021	0.8589	0.7174	0.8511	0.4468	0.1117	
SIMSBM_[1]	1	0.7292	0.7021	0.7447	0.7021	0.8637	0.7194	0.8511	0.4468	0.1117	
SIMSBM_[1]	2	0.7292	0.7021	0.7447	0.7021	0.8620	0.7186	0.8511	0.4468	0.1117	
SIMSBM_[1]	3	0.7292	0.7021	0.7447	0.7021	0.8668	0.7209	0.8511	0.4468	0.1117	
SIMSBM_[1]	4	0.7292	0.7021	0.7447	0.7021	0.8593	0.7174	0.8511	0.4468	0.1117	
SIMSBM_[1]	5	0.7292	0.7021	0.7447	0.7021	0.8661	0.7208	0.8511	0.4468	0.1117	
SIMSBM_[1]	6	0.7292	0.7021	0.7447	0.7021	0.8595	0.7176	0.8511	0.4468	0.1117	
SIMSBM_[1]	7	0.7292	0.7021	0.7447	0.7021	0.8655	0.7202	0.8511	0.4468	0.1117	
SIMSBM_[1]	8	0.7292	0.7021	0.7447	0.7021	0.8607	0.7181	0.8511	0.4468	0.1117	
SIMSBM_[1]	9	0.7292	0.7021	0.7447	0.7021	0.8674	0.7211	0.8511	0.4468	0.1117	
